Treatment,CouponID,ProbeDepth,PercentageAtDepth
SulfideOnly,15,27.6823,0.015309
SulfideOnly,15,28.4513,0.000952972
SulfideOnly,15,29.2203,0.000122964
SulfideOnly,15,29.9892,9.22231E-05
SulfideOnly,15,30.7582,0
SulfideOnly,16,0,0
SulfideOnly,16,0.24137,0.015209
SulfideOnly,16,0.482741,0.0196282
SulfideOnly,16,0.724111,0.0288396
SulfideOnly,16,0.965482,0.039285
SulfideOnly,16,1.20685,0.0498165
SulfideOnly,16,1.44822,0.0593723
SulfideOnly,16,1.68959,0.0672351
SulfideOnly,16,1.93096,0.0747821
SulfideOnly,16,2.17233,0.0825301
SulfideOnly,16,2.4137,0.091885
SulfideOnly,16,2.65507,0.112891
SulfideOnly,16,2.89645,0.141587
SulfideOnly,16,3.13782,0.204776
SulfideOnly,16,3.37919,0.335774
SulfideOnly,16,3.62056,0.640727
SulfideOnly,16,3.86193,1.19884
SulfideOnly,16,4.1033,2.13
SulfideOnly,16,4.34467,3.51709
SulfideOnly,16,4.58604,5.32919
SulfideOnly,16,4.82741,7.26477
SulfideOnly,16,5.06878,8.98304
SulfideOnly,16,5.31015,10.3365
SulfideOnly,16,5.55152,11.4091
SulfideOnly,16,5.79289,11.5506
SulfideOnly,16,6.03426,10.8463
SulfideOnly,16,6.27563,9.17674
SulfideOnly,16,6.517,6.77955
SulfideOnly,16,6.75837,4.38945
SulfideOnly,16,6.99974,2.46127
SulfideOnly,16,7.24111,1.25503
SulfideOnly,16,7.48248,0.614097
SulfideOnly,16,7.72385,0.302859
SulfideOnly,16,7.96522,0.174157
SulfideOnly,16,8.20659,0.105831
SulfideOnly,16,8.44797,0.0731465
SulfideOnly,16,8.68934,0.049013
SulfideOnly,16,8.93071,0.0344067
SulfideOnly,16,9.17208,0.0251091
SulfideOnly,16,9.41345,0.0186812
SulfideOnly,16,9.65482,0.0108758
SulfideOnly,17,0,0
SulfideOnly,17,0.756281,0.100565
SulfideOnly,17,1.51256,0.50021
SulfideOnly,17,2.26884,5.10463
SulfideOnly,17,3.02512,23.552
SulfideOnly,17,3.7814,34.4123
SulfideOnly,17,4.53769,20.3143
SulfideOnly,17,5.29397,7.44528
SulfideOnly,17,6.05025,2.6072
SulfideOnly,17,6.80653,1.4441
SulfideOnly,17,7.56281,1.0448
SulfideOnly,17,8.31909,0.77842
SulfideOnly,17,9.07537,0.647094
SulfideOnly,17,9.83165,0.540916
SulfideOnly,17,10.5879,0.442585
SulfideOnly,17,11.3442,0.357468
SulfideOnly,17,12.1005,0.27652
SulfideOnly,17,12.8568,0.206362
SulfideOnly,17,13.6131,0.138001
SulfideOnly,17,14.3693,0.0687418
SulfideOnly,17,15.1256,0.0154485
SulfideOnly,17,15.8819,0.00201621
SulfideOnly,17,16.6382,0.000572167
SulfideOnly,17,17.3945,0.000245215
SulfideOnly,17,18.1507,0.000108984
SulfideOnly,17,18.907,8.17E-05
SulfideOnly,17,19.6633,0
SulfideOnly,17,20.4196,0
SulfideOnly,17,21.1759,0
SulfideOnly,17,21.9321,0
SulfideOnly,17,22.6884,0
SulfideOnly,17,23.4447,0
SulfideOnly,17,24.201,0
SulfideOnly,17,24.9573,0
SulfideOnly,17,25.7135,0
SulfideOnly,17,26.4698,0
SulfideOnly,17,27.2261,0
SulfideOnly,17,27.9824,0
SulfideOnly,17,28.7387,0
SulfideOnly,17,29.495,0
